TS 推送
GDZ 改电重
PDJ 票等级
WJ 文件
GQ 感器
FZFZ 辅助辅助
YS 要素
ZBSM 专变寿命
CS 措施
W 五
TGWX 套管维修
LCB 里程碑
YDGL 月度功率
ML 目录
SJB 时间表
Z 柱
SBGZ 设备规则
PJR 评价日
XX 信息
XZSY 性质试验
SGJL 事故记录
Y 预
ZZZZ 装置装置
BFXX 部分信息
SBXM 设备项目
JCYT 监察一体
ZS 这时
DZXT 电阻详图
SDB 时对比
D 但
DZT 电站图
ZT 状体
263 263
RQDY 容器电压
ZCYZ 资产验证
SBJG 设备间隔
XQ 需求
1GX 1关系
WD 温度
C.1 C.1
JTZD 接头站点
YXJJJY 运行金具绝缘
CJGJ 抽检告警
ZR 自然
SJ 收集
DYLBQ 单元滤波器
SBXD 设备蓄电
MXMP 明细铭牌
SKXX 水库汛限
JJZX 交接中心
JLBCB 记录表储备
GZSY 工作试验
ZBGD 指标供电
JHWL 计划物料
PCJL 普查记录
KH 考核
SBZSQ 设备指示器
JHZY 计划专业
JHFW 计划服务
SJB 损基本
NPSJ 拟票事件
ZB 在比
1 1
ZT 逐条
DW 动物
GJFBS 告警分布式
BLCW 不良测温
DMSZ 代码数值
BPBF 变配变分
XLZY 线路主要
TYDÀ 统一档案
WBSKF WBS开发
DD 电动
XTZT 系统专题
YXBD 演习变电
BDJL 保电记录
ZJ 直接
TXMD 通讯名单
SFZ 受辅助
WJFJ 文件附件
Z 中
BT 不停
GCY 工程应
RQZW 容器站外
FZ 发展
HWR 红外热
DYZ 低压站
FXFF 分析方法
XZ 现状
XG 修改
TJPB 统计配变
JFY 及费用
DBJL 单表记录
JL 交流
HF 回复
JJCS 交接次数
PCGL 批次关联
FZXJM 辅助线截面
JHSY 计划试验
S 数
GGBB 公共报表
， ，
ZDHFTUFZ 自动化FTU辅助
GJ 告警
ZR 作人
BH 班后
DZYX 电站运行
SJGC 时间工程
HGQWX 互感器维修
ZZTX 装置通信
ADSS ADSS
QZB 卡主表
FD 放电
ZMTWS 在每天晚上
)Y )域
JLYD 计量用电
JGDM 技改代码
FBS 分布式
JZ 建筑
GD 改电
Y 运
SBCB 设备成本
QBLQ 器表雷器
SHFW 售后服务
ZQXZT 周期性状态
GSGZ 公司规则
JSDW 接收单位
ZBB 指标板
ZD- 字典-
YXBD 影响变电
YCÈW 预测二维
JGPNW 技改配农网
YC 用词
PMS pms
KGSB 开关设备
LX 例行
BD 表单
WW 问问
BZ 班组
FZX 辅助线
CZSQ 操作申请
D 大
、 、
CCSB 储存设备
YYWD 营业网点
LB 滤波
GZFC 工作反措
SYWB 索引文本
KXYC 馈线一次
DÉZH 定额综合
JYGZ 精益规则
JCB 决策表
10KV10KV 10KV10KV
JLBCS 记录表测试
ZYGY 专业高压
HGQGL 互感器隔离
PJ 平均
DX 地线
ZR 租赁
LSZL 临时治理
-- --
TJFB 统计范本
WDQT 温度其他
/LQ /雷器
JKYM 接口页面
DXSB 大修设备
HLHL 换流换流
CSB 参数表
DLYXK 电缆运行库
BZMB 标准模板
SBD 输变电
HBFX 汇报风险
QKBGG 情况表公共
M 埋
DSF 第三方
ZLZJ 质量中间
FKG 分开关
T 体
SBĀQ 设备安全
JYSZYK 建议书资源库
SL 数量
RZSY 日志试验
ZZ 正在
D 多
PDQX 配电抢修
G 杆
BYQZY 变压器专用
DRFX 导入防汛
JHYQ 计划仪器
GZP 工作票
YC 预测
JLTP 计量拓扑
PCDG 普查大纲
SD 送电
QB 卡表
DYRSB 低压熔丝表
S 上
BT 本体
WCDX 外超单线
TJWZ 统计网主
DKXJ 电抗相机
Z 周
）ZC ）资产
BZB 包主表
JLĀQ 记录安全
GHD 杆横担
JJYQ 基建仪器
ZCBP 资产备品
)MS )描述
BLXGC 避雷线观测
QX 权限
HJWD 环境温度
RQXT 容器详图
GMXL 规模线路
ĀQ 安全
BS 报送
FYCB 费用成本
ZZMN 装置模拟
BS 标示
S 损
HD 厚度
DLJC 电缆交叉
BYQDL 变压器电流
JZ 价值
BZGZ 变重过载
QXFÀ 抢修方案
LPLX 两票类型
XXSY 信息试验
ZC 早操
KK 库库
LPWXD 两票危险点
BQ 班前
PG 派工
JCJL 检测记录
JHXXQK 计划详细情况
R 如
KGDZB 开关刀闸表
）TJB ）统计表
ZBGH 指标规划
DJ 动机
WL 网络
JHKC 计划勘察
BMFZ 编码分组
RZZBRY 日志值班人员
MXYH 明细用户
FN 防鸟
LB 梁表
DBFS 点表发送
SDDG 上调大纲
WXWB 危险文本
GJGZ 关键规则
GBXLLQ 杆表线路雷器
FW 范围
）DYZ ）第一种
JLXTJC 计量系统集成
GZCS 工作次数
DMZX 代码执行
BCBH 班次保护
OMS oms
DZ 电站
XH 消弧
CJ 春检
DJ 等级
QJHF 区及恢复
GDSH 供电审核
DXGL 大修关联
BFDB 报废调拨
FDJZ 发电机站
BXLB 表箱列表
)H )户
JGX 及关系
XBB 相别表
YBD 与变电
SBXS 设备线上
JM 加密
JB 接表
SL 三率
CP 采配
TXTX 通讯通讯
MXDW 明细队伍
YDR 月度日
Q 签
JYH 及用户
XS 线损
JB 脚本
CW 测温
HJ 环节
LBPZ 列表配置
SBZ 设备至
XGGL 相关关联
PDFJ 配电附件
PJZJ 评价专家
TDWL 停电物料
GYSZT 供应商状态
WZXM 物资项目
CG 采购
XX 学习
CB 从表
PW 配网
QXPB 抢修配变
GMPZ 规模配置
WC 外超
MXSY 明细试验
YXGS 运行概算
KBYH 库表用户
PDLOG 配电log
BYXT 变压详图
WLSB 网络设备
HGQCJ 互感器采集
ZBWZ 指标物资
ZCFX 资产分析
TY 同一
JHPZ 计划配置
2.41 2.41
PJGL 评价关联
MXQY 明细迁移
8 8
QXDL 缺陷电流
JÈW 及二维
FB 发布
SXSY 试行试验
M 煤
GLKG 隔离开关
YS 以上
JTZW 简图站外
CZSY 初值试验
MT 每天
PJGZ 评价规则
ZBCZ 指标操作
LBQLK 录波器拉开
DJ 登记
XB 向表
GL 光缆
ZBDX 指标对象
JHJB 计划基本
SXKZ 属性扩展
SCDD 生产调度
SBKZ 设备控制
YJGD 依据管道
DBJZ 单表家族
Z 子
QTCZ 其它操作
DÈ 第二
QKBSD 情况表输电
FSJL 方式记录
YDLY 月度利用
JZ 家族
DXK 大修库
SGL 室隔离
HG 互感
GGSSTZ 公共设施图站
JC 检测
RSDG 熔丝大纲
BSS 变所属
JLWZ 记录物资
JS 结算
XLCZ 线路操作
SD 审定
DZKH 地址客户
DLQDX 断路器单线
XL 泄漏
JCRW 决策任务
SJ 三交
XLLQ 线路雷器
CL 测量
JD 进度
